"";"Distribuidor ID";"Cliente ID";"Producto ID";"Territorio Venta ID";"Cantidad";"Precio Unitario";"tipo"
"1";676;-1;364;5;3;647,994;"Botellas"
"2";676;-1;365;5;2;647,994;"Botellas"
"3";676;-1;366;5;1;647,994;"Botellas"
"4";676;-1;367;5;6;647,994;"Botellas"
"5";676;-1;358;5;3;1229,4589;"Botellas"
"6";676;-1;360;5;3;1229,4589;"Botellas"
"7";676;-1;362;5;3;1229,4589;"Botellas"
"8";676;-1;352;5;6;1242,8518;"Botellas"
"9";676;-1;354;5;2;1242,8518;"Botellas"
"10";676;-1;356;5;4;1242,8518;"Botellas"
"11";676;-1;399;5;1;33,7745;"Botellas"
"12";676;-1;420;5;1;141,615;"Botellas"
"13";676;-1;421;5;2;196,329;"Botellas"
"14";676;-1;428;5;3;209,256;"Botellas"
"15";676;-1;233;5;5;28,8404;"Botellas"
"16";676;-1;456;5;6;44,994;"Botellas"
"17";676;-1;458;5;1;44,994;"Botellas"
"18";676;-1;460;5;1;53,994;"Botellas"
"19";676;-1;469;5;12;22,0342;"Botellas"
"20";676;-1;470;5;9;22,794;"Botellas"
"21";676;-1;224;5;3;5,1865;"Botellas"
"22";676;-1;221;5;2;20,1865;"Botellas"
"23";622;-1;329;3;3;469,794;"Botellas"
"24";622;-1;325;3;2;469,794;"Botellas"
"25";622;-1;327;3;2;469,794;"Botellas"
"26";622;-1;333;3;4;469,794;"Botellas"
"27";622;-1;323;3;4;469,794;"Botellas"
"28";200;-1;453;1;1;35,994;"Botellas"
"29";200;-1;433;1;1;324,4527;"Botellas"
"30";200;-1;460;1;1;53,994;"Botellas"
"31";337;-1;469;7;3;22,794;"Botellas"
"32";337;-1;366;7;1;647,994;"Botellas"
"33";337;-1;460;7;3;53,994;"Botellas"
"34";530;-1;356;5;3;1242,8518;"Botellas"
"35";530;-1;352;5;2;1242,8518;"Botellas"
"36";530;-1;460;5;4;53,994;"Botellas"
"37";530;-1;224;5;3;5,1865;"Botellas"
"38";530;-1;453;5;5;35,994;"Botellas"
"39";530;-1;367;5;3;647,994;"Botellas"
"40";530;-1;364;5;2;647,994;"Botellas"
"41";530;-1;428;5;2;209,256;"Botellas"
"42";530;-1;469;5;6;22,794;"Botellas"
"43";530;-1;421;5;2;196,329;"Botellas"
"44";530;-1;420;5;1;141,615;"Botellas"
"45";530;-1;233;5;3;28,8404;"Botellas"
"46";530;-1;366;5;1;647,994;"Botellas"
"47";530;-1;358;5;5;1229,4589;"Botellas"
"48";530;-1;360;5;2;1229,4589;"Botellas"
"49";530;-1;216;5;3;20,1865;"Botellas"
"50";530;-1;458;5;2;44,994;"Botellas"
"51";530;-1;365;5;3;647,994;"Botellas"
"52";530;-1;221;5;2;20,1865;"Botellas"
"53";530;-1;456;5;5;44,994;"Botellas"
"54";530;-1;409;5;1;209,256;"Botellas"
"55";530;-1;470;5;4;22,794;"Botellas"
"56";670;-1;341;3;5;469,794;"Botellas"
"57";670;-1;381;3;2;600,2625;"Botellas"
"58";670;-1;335;3;5;469,794;"Botellas"
"59";670;-1;387;3;6;600,2625;"Botellas"
"60";670;-1;371;3;2;1308,9375;"Botellas"
"61";670;-1;368;3;2;1466,01;"Botellas"
"62";670;-1;385;3;6;600,2625;"Botellas"
"63";670;-1;343;3;7;469,794;"Botellas"
"64";670;-1;369;3;5;1466,01;"Botellas"
"65";670;-1;337;3;5;469,794;"Botellas"
"66";670;-1;331;3;3;469,794;"Botellas"
"67";670;-1;379;3;3;1308,9375;"Botellas"
"68";670;-1;325;3;5;469,794;"Botellas"
"69";670;-1;370;3;5;1466,01;"Botellas"
"70";670;-1;221;3;6;20,1865;"Botellas"
"71";670;-1;216;3;2;20,1865;"Botellas"
"72";670;-1;333;3;5;469,794;"Botellas"
"73";670;-1;383;3;3;600,2625;"Botellas"
"74";670;-1;321;3;7;469,794;"Botellas"
"75";670;-1;375;3;5;1308,9375;"Botellas"
"76";670;-1;329;3;2;469,794;"Botellas"
"77";670;-1;323;3;8;469,794;"Botellas"
"78";670;-1;327;3;5;469,794;"Botellas"
"79";670;-1;373;3;1;1308,9375;"Botellas"
"80";670;-1;377;3;7;1308,9375;"Botellas"
"81";670;-1;389;3;3;600,2625;"Botellas"
"82";246;-1;399;6;1;33,7745;"Botellas"
"83";491;-1;387;4;1;600,2625;"Botellas"
"84";491;-1;460;4;6;53,994;"Botellas"
"85";491;-1;335;4;1;469,794;"Botellas"
"86";41;-1;333;4;2;469,794;"Botellas"
"87";41;-1;325;4;3;469,794;"Botellas"
"88";41;-1;327;4;1;469,794;"Botellas"
"89";41;-1;323;4;1;469,794;"Botellas"
"90";252;-1;409;2;2;209,256;"Botellas"
"91";252;-1;420;2;1;141,615;"Botellas"
"92";252;-1;356;2;4;1242,8518;"Botellas"
"93";252;-1;469;2;12;22,0342;"Botellas"
"94";252;-1;362;2;2;1229,4589;"Botellas"
"95";252;-1;470;2;5;22,794;"Botellas"
"96";252;-1;421;2;3;196,329;"Botellas"
"97";252;-1;428;2;1;209,256;"Botellas"
"98";252;-1;365;2;2;647,994;"Botellas"
"99";252;-1;354;2;2;1242,8518;"Botellas"
"100";252;-1;360;2;3;1229,4589;"Botellas"
"101";252;-1;399;2;1;33,7745;"Botellas"
"102";252;-1;367;2;2;647,994;"Botellas"
"103";252;-1;364;2;4;647,994;"Botellas"
"104";4;-1;339;4;2;469,794;"Botellas"
"105";4;-1;341;4;3;469,794;"Botellas"
"106";4;-1;343;4;4;469,794;"Botellas"
"107";4;-1;333;4;4;469,794;"Botellas"
"108";4;-1;335;4;7;469,794;"Botellas"
"109";4;-1;337;4;8;469,794;"Botellas"
"110";4;-1;327;4;4;469,794;"Botellas"
"111";4;-1;329;4;3;469,794;"Botellas"
"112";4;-1;331;4;5;469,794;"Botellas"
"113";4;-1;321;4;8;469,794;"Botellas"
"114";4;-1;323;4;7;469,794;"Botellas"
"115";4;-1;325;4;2;469,794;"Botellas"
"116";4;-1;381;4;1;600,2625;"Botellas"
"117";4;-1;383;4;3;600,2625;"Botellas"
"118";4;-1;385;4;3;600,2625;"Botellas"
"119";4;-1;387;4;1;600,2625;"Botellas"
"120";4;-1;373;4;5;1308,9375;"Botellas"
"121";4;-1;375;4;7;1308,9375;"Botellas"
"122";4;-1;377;4;5;1308,9375;"Botellas"
"123";4;-1;379;4;5;1308,9375;"Botellas"
"124";4;-1;368;4;5;1466,01;"Botellas"
"125";4;-1;369;4;5;1466,01;"Botellas"
"126";4;-1;370;4;2;1466,01;"Botellas"
"127";4;-1;371;4;2;1308,9375;"Botellas"
"128";4;-1;422;4;4;67,539;"Botellas"
"129";290;-1;343;1;3;469,794;"Botellas"
"130";290;-1;325;1;8;469,794;"Botellas"
"131";290;-1;373;1;5;1308,9375;"Botellas"
"132";290;-1;263;1;1;202,332;"Botellas"
"133";290;-1;383;1;7;600,2625;"Botellas"
"134";290;-1;286;1;2;183,9382;"Botellas"
"135";290;-1;433;1;5;324,4527;"Botellas"
"136";290;-1;331;1;1;469,794;"Botellas"
"137";290;-1;389;1;5;600,2625;"Botellas"
"138";290;-1;422;1;2;67,539;"Botellas"
"139";290;-1;339;1;1;469,794;"Botellas"
"140";290;-1;327;1;4;469,794;"Botellas"
"141";290;-1;329;1;3;469,794;"Botellas"
"142";290;-1;323;1;7;469,794;"Botellas"
"143";290;-1;335;1;1;469,794;"Botellas"
"144";290;-1;381;1;4;600,2625;"Botellas"
"145";290;-1;271;1;3;202,332;"Botellas"
"146";290;-1;368;1;3;1466,01;"Botellas"
"147";290;-1;461;1;5;53,994;"Botellas"
"148";290;-1;445;1;2;35,994;"Botellas"
"149";290;-1;462;1;3;14,1289;"Botellas"
"150";325;-1;470;1;2;22,794;"Botellas"
"151";673;-1;409;1;3;209,256;"Botellas"
"152";245;-1;399;6;7;33,7745;"Botellas"
"153";245;-1;395;6;11;59,3282;"Botellas"
"154";245;-1;397;6;5;24,2945;"Botellas"
"155";245;-1;420;6;3;141,615;"Botellas"
"156";245;-1;428;6;4;209,256;"Botellas"
"157";245;-1;410;6;2;36,447;"Botellas"
"158";245;-1;421;6;4;196,329;"Botellas"
"159";245;-1;427;6;4;209,256;"Botellas"
"160";245;-1;308;6;2;744,2727;"Botellas"
"161";245;-1;360;6;4;1229,4589;"Botellas"
"162";245;-1;352;6;4;1242,8518;"Botellas"
"163";245;-1;297;6;1;736,1455;"Botellas"
"164";245;-1;393;6;3;137,694;"Botellas"
"165";245;-1;469;6;2;22,794;"Botellas"
"166";245;-1;358;6;2;1229,4589;"Botellas"
"167";184;-1;456;4;6;44,994;"Botellas"
"168";184;-1;399;4;2;33,7745;"Botellas"
"169";184;-1;230;4;2;28,8404;"Botellas"
"170";184;-1;427;4;3;209,256;"Botellas"
"171";184;-1;224;4;8;5,1865;"Botellas"
"172";184;-1;447;4;5;15;"Botellas"
"173";184;-1;460;4;2;53,994;"Botellas"
"174";184;-1;464;4;7;14,1289;"Botellas"
"175";184;-1;297;4;3;736,1455;"Botellas"
"176";184;-1;410;4;2;36,447;"Botellas"
"177";184;-1;395;4;6;61,374;"Botellas"
"178";184;-1;233;4;6;28,8404;"Botellas"
"179";184;-1;428;4;1;209,256;"Botellas"
"180";184;-1;458;4;1;44,994;"Botellas"
"181";184;-1;221;4;2;20,1865;"Botellas"
"182";184;-1;420;4;4;141,615;"Botellas"
"183";184;-1;216;4;2;20,1865;"Botellas"
"184";184;-1;358;4;2;1229,4589;"Botellas"
"185";184;-1;308;4;1;744,2727;"Botellas"
"186";184;-1;213;4;3;20,1865;"Botellas"
"187";184;-1;393;4;3;137,694;"Botellas"
"188";184;-1;470;4;4;22,794;"Botellas"
"189";184;-1;448;4;3;11,994;"Botellas"
"190";506;-1;367;1;9;647,994;"Botellas"
"191";506;-1;233;1;4;28,8404;"Botellas"
"192";506;-1;458;1;2;44,994;"Botellas"
"193";506;-1;358;1;8;1229,4589;"Botellas"
"194";506;-1;362;1;3;1229,4589;"Botellas"
"195";506;-1;421;1;5;196,329;"Botellas"
"196";506;-1;352;1;7;1242,8518;"Botellas"
"197";506;-1;356;1;8;1242,8518;"Botellas"
"198";506;-1;365;1;2;647,994;"Botellas"
"199";506;-1;399;1;4;33,7745;"Botellas"
"200";506;-1;360;1;8;1229,4589;"Botellas"
"201";506;-1;420;1;6;141,615;"Botellas"
"202";506;-1;428;1;2;209,256;"Botellas"
"203";506;-1;456;1;2;44,994;"Botellas"
"204";506;-1;470;1;9;22,794;"Botellas"
"205";506;-1;469;1;6;22,794;"Botellas"
"206";506;-1;364;1;1;647,994;"Botellas"
"207";506;-1;354;1;11;1201,4234;"Botellas"
"208";506;-1;224;1;3;5,1865;"Botellas"
"209";506;-1;366;1;9;647,994;"Botellas"
"210";380;-1;470;1;4;22,794;"Botellas"
"211";380;-1;358;1;4;1229,4589;"Botellas"
"212";380;-1;360;1;3;1229,4589;"Botellas"
"213";380;-1;468;1;1;22,794;"Botellas"
"214";380;-1;469;1;1;22,794;"Botellas"
"215";183;-1;358;3;1;1229,4589;"Botellas"
"216";183;-1;469;3;4;22,794;"Botellas"
"217";183;-1;470;3;8;22,794;"Botellas"
"218";183;-1;468;3;2;22,794;"Botellas"
"219";698;-1;325;1;2;469,794;"Botellas"
"220";698;-1;323;1;1;469,794;"Botellas"
"221";698;-1;329;1;1;469,794;"Botellas"
"222";698;-1;343;1;3;469,794;"Botellas"
"223";514;-1;224;6;1;5,1865;"Botellas"
"224";514;-1;221;6;6;20,1865;"Botellas"
"225";514;-1;236;6;1;28,8404;"Botellas"
"226";514;-1;389;6;2;600,2625;"Botellas"
"227";514;-1;265;6;4;202,332;"Botellas"
"228";514;-1;323;6;6;469,794;"Botellas"
"229";514;-1;454;6;1;35,994;"Botellas"
"230";514;-1;448;6;4;11,994;"Botellas"
"231";514;-1;273;6;5;202,332;"Botellas"
"232";514;-1;213;6;3;20,1865;"Botellas"
"233";514;-1;458;6;9;44,994;"Botellas"
"234";514;-1;462;6;5;14,1289;"Botellas"
"235";514;-1;460;6;3;53,994;"Botellas"
"236";514;-1;325;6;3;469,794;"Botellas"
"237";514;-1;383;6;6;600,2625;"Botellas"
"238";514;-1;331;6;3;469,794;"Botellas"
"239";514;-1;343;6;15;430,6445;"Cajas"
"240";514;-1;329;6;3;469,794;"Botellas"
"241";514;-1;230;6;2;28,8404;"Botellas"
"242";514;-1;339;6;5;469,794;"Botellas"
"243";514;-1;333;6;6;469,794;"Botellas"
"244";514;-1;369;6;2;1466,01;"Botellas"
