"";"Distribuidor ID";"Cliente ID";"Producto ID";"Territorio Venta ID";"Cantidad";"Precio Unitario";"tipo"
"1";676;-1;364;5;3;647,994;1
"2";676;-1;365;5;2;647,994;1
"3";676;-1;366;5;1;647,994;1
"4";676;-1;367;5;6;647,994;1
"5";676;-1;358;5;3;1229,4589;1
"6";676;-1;360;5;3;1229,4589;1
"7";676;-1;362;5;3;1229,4589;1
"8";676;-1;352;5;6;1242,8518;1
"9";676;-1;354;5;2;1242,8518;1
"10";676;-1;356;5;4;1242,8518;1
"11";676;-1;399;5;1;33,7745;1
"12";676;-1;420;5;1;141,615;1
"13";676;-1;421;5;2;196,329;1
"14";676;-1;428;5;3;209,256;1
"15";676;-1;233;5;5;28,8404;1
"16";676;-1;456;5;6;44,994;1
"17";676;-1;458;5;1;44,994;1
"18";676;-1;460;5;1;53,994;1
"19";676;-1;469;5;12;22,0342;1
"20";676;-1;470;5;9;22,794;1
"21";676;-1;224;5;3;5,1865;1
"22";676;-1;221;5;2;20,1865;1
"23";622;-1;329;3;3;469,794;1
"24";622;-1;325;3;2;469,794;1
"25";622;-1;327;3;2;469,794;1
"26";622;-1;333;3;4;469,794;1
"27";622;-1;323;3;4;469,794;1
"28";200;-1;453;1;1;35,994;1
"29";200;-1;433;1;1;324,4527;1
"30";200;-1;460;1;1;53,994;1
"31";337;-1;469;7;3;22,794;1
"32";337;-1;366;7;1;647,994;1
"33";337;-1;460;7;3;53,994;1
"34";530;-1;356;5;3;1242,8518;1
"35";530;-1;352;5;2;1242,8518;1
"36";530;-1;460;5;4;53,994;1
"37";530;-1;224;5;3;5,1865;1
"38";530;-1;453;5;5;35,994;1
"39";530;-1;367;5;3;647,994;1
"40";530;-1;364;5;2;647,994;1
"41";530;-1;428;5;2;209,256;1
"42";530;-1;469;5;6;22,794;1
"43";530;-1;421;5;2;196,329;1
"44";530;-1;420;5;1;141,615;1
"45";530;-1;233;5;3;28,8404;1
"46";530;-1;366;5;1;647,994;1
"47";530;-1;358;5;5;1229,4589;1
"48";530;-1;360;5;2;1229,4589;1
"49";530;-1;216;5;3;20,1865;1
"50";530;-1;458;5;2;44,994;1
"51";530;-1;365;5;3;647,994;1
"52";530;-1;221;5;2;20,1865;1
"53";530;-1;456;5;5;44,994;1
"54";530;-1;409;5;1;209,256;1
"55";530;-1;470;5;4;22,794;1
"56";670;-1;341;3;5;469,794;1
"57";670;-1;381;3;2;600,2625;1
"58";670;-1;335;3;5;469,794;1
"59";670;-1;387;3;6;600,2625;1
"60";670;-1;371;3;2;1308,9375;1
"61";670;-1;368;3;2;1466,01;1
"62";670;-1;385;3;6;600,2625;1
"63";670;-1;343;3;7;469,794;1
"64";670;-1;369;3;5;1466,01;1
"65";670;-1;337;3;5;469,794;1
"66";670;-1;331;3;3;469,794;1
"67";670;-1;379;3;3;1308,9375;1
"68";670;-1;325;3;5;469,794;1
"69";670;-1;370;3;5;1466,01;1
"70";670;-1;221;3;6;20,1865;1
"71";670;-1;216;3;2;20,1865;1
"72";670;-1;333;3;5;469,794;1
"73";670;-1;383;3;3;600,2625;1
"74";670;-1;321;3;7;469,794;1
"75";670;-1;375;3;5;1308,9375;1
"76";670;-1;329;3;2;469,794;1
"77";670;-1;323;3;8;469,794;1
"78";670;-1;327;3;5;469,794;1
"79";670;-1;373;3;1;1308,9375;1
"80";670;-1;377;3;7;1308,9375;1
"81";670;-1;389;3;3;600,2625;1
"82";246;-1;399;6;1;33,7745;1
"83";491;-1;387;4;1;600,2625;1
"84";491;-1;460;4;6;53,994;1
"85";491;-1;335;4;1;469,794;1
"86";41;-1;333;4;2;469,794;1
"87";41;-1;325;4;3;469,794;1
"88";41;-1;327;4;1;469,794;1
"89";41;-1;323;4;1;469,794;1
"90";252;-1;409;2;2;209,256;1
"91";252;-1;420;2;1;141,615;1
"92";252;-1;356;2;4;1242,8518;1
"93";252;-1;469;2;12;22,0342;1
"94";252;-1;362;2;2;1229,4589;1
"95";252;-1;470;2;5;22,794;1
"96";252;-1;421;2;3;196,329;1
"97";252;-1;428;2;1;209,256;1
"98";252;-1;365;2;2;647,994;1
"99";252;-1;354;2;2;1242,8518;1
"100";252;-1;360;2;3;1229,4589;1
"101";252;-1;399;2;1;33,7745;1
"102";252;-1;367;2;2;647,994;1
"103";252;-1;364;2;4;647,994;1
"104";4;-1;339;4;2;469,794;1
"105";4;-1;341;4;3;469,794;1
"106";4;-1;343;4;4;469,794;1
"107";4;-1;333;4;4;469,794;1
"108";4;-1;335;4;7;469,794;1
"109";4;-1;337;4;8;469,794;1
"110";4;-1;327;4;4;469,794;1
"111";4;-1;329;4;3;469,794;1
"112";4;-1;331;4;5;469,794;1
"113";4;-1;321;4;8;469,794;1
"114";4;-1;323;4;7;469,794;1
"115";4;-1;325;4;2;469,794;1
"116";4;-1;381;4;1;600,2625;1
"117";4;-1;383;4;3;600,2625;1
"118";4;-1;385;4;3;600,2625;1
"119";4;-1;387;4;1;600,2625;1
"120";4;-1;373;4;5;1308,9375;1
"121";4;-1;375;4;7;1308,9375;1
"122";4;-1;377;4;5;1308,9375;1
"123";4;-1;379;4;5;1308,9375;1
"124";4;-1;368;4;5;1466,01;1
"125";4;-1;369;4;5;1466,01;1
"126";4;-1;370;4;2;1466,01;1
"127";4;-1;371;4;2;1308,9375;1
"128";4;-1;422;4;4;67,539;1
"129";290;-1;343;1;3;469,794;1
